INCIDENT_ID,EMPLOYEE_ID,DATE,LOCATION,DEPARTMENT,INCIDENT_TYPE,SEVERITY,DESCRIPTION,OVERTIME_ON_DAY,HOURS_WORKED_BEFORE_INCIDENT
INC-0010,EMP-1014,2025-09-15,Denver Office,Human Resources,Ergonomic Strain,Medium,Incident at Denver Office - Medium severity,FALSE,2.1
INC-0011,EMP-1103,2025-10-03,Baltimore HQ,Finance,Minor Cut/Bruise,Low,Incident at Baltimore HQ - Low severity,FALSE,2.5
INC-0012,EMP-1038,2025-10-08,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Low,Incident at Chicago Plant - Low severity,FALSE,3.8
INC-0013,EMP-1134,2025-10-21,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Medium,Incident at Chicago Plant - Medium severity,FALSE,6.9
INC-0014,EMP-1109,2025-10-24,Atlanta DC,Human Resources,Minor Cut/Bruise,High,Incident at Atlanta DC - High severity,FALSE,3.7
INC-0015,EMP-1156,2025-11-03,Baltimore HQ,Warehouse & Logistics,Ergonomic Strain,Low,Incident at Baltimore HQ - Low severity,FALSE,6.7
INC-0016,EMP-1159,2025-11-13,Austin Hub,Customer Service,Minor Cut/Bruise,Low,Incident at Austin Hub - Low severity,FALSE,3.3
INC-0017,EMP-1012,2025-11-25,Atlanta DC,Customer Service,Ergonomic Strain,Low,Incident at Atlanta DC - Low severity,FALSE,3.1
INC-0018,EMP-1029,2025-11-27,Austin Hub,Human Resources,Minor Cut/Bruise,Low,Incident at Austin Hub - Low severity,FALSE,6.6
INC-0019,EMP-1121,2025-11-29,Chicago Plant,Finance,Near Miss,Medium,Incident at Chicago Plant - Medium severity,FALSE,6.9
INC-0020,EMP-1169,2025-11-30,Denver Office,Customer Service,Near Miss,Low,Incident at Denver Office - Low severity,FALSE,6.6
INC-0021,EMP-1132,2025-12-18,Austin Hub,Finance,Equipment Malfunction,Low,Incident at Austin Hub - Low severity,FALSE,4.2
INC-0022,EMP-1082,2025-12-23,Denver Office,Warehouse & Logistics,Minor Cut/Bruise,Low,Incident at Denver Office - Low severity,FALSE,2.1
INC-0023,EMP-1031,2026-01-13,Chicago Plant,Warehouse & Logistics,Repetitive Strain,High,Repetitive Strain at Chicago Plant after 9.6 hours on shift,TRUE,9.6
INC-0024,EMP-1038,2026-01-16,Chicago Plant,Warehouse & Logistics,Repetitive Strain,High,Repetitive Strain at Chicago Plant after 11.8 hours on shift,TRUE,11.8
INC-0025,EMP-1134,2026-01-19,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Medium,Equipment Malfunction at Chicago Plant after 11.1 hours on shift,TRUE,11.1
INC-0026,EMP-1051,2026-01-22,Chicago Plant,Warehouse & Logistics,Near Miss - Forklift,Low,Near Miss - Forklift at Chicago Plant after 8.9 hours on shift,TRUE,8.9
INC-0027,EMP-1151,2026-01-28,Denver Office,Engineering,Near Miss,Low,Incident at Denver Office - Low severity,FALSE,2.8
INC-0028,EMP-1047,2026-01-29,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Low,Equipment Malfunction at Chicago Plant after 9.1 hours on shift,TRUE,9.1
INC-0029,EMP-1082,2026-02-01,Denver Office,Warehouse & Logistics,Ergonomic Strain,Medium,Incident at Denver Office - Medium severity,FALSE,3.9
INC-0030,EMP-1044,2026-02-03,Chicago Plant,Warehouse & Logistics,Slip/Fall,High,Slip/Fall at Chicago Plant after 8.6 hours on shift,TRUE,8.6
INC-0031,EMP-1134,2026-02-11,Chicago Plant,Warehouse & Logistics,Ergonomic Strain,Low,Incident at Chicago Plant - Low severity,FALSE,2.6
INC-0032,EMP-1044,2026-02-13,Chicago Plant,Warehouse & Logistics,Caught Between Objects,Medium,Caught Between Objects at Chicago Plant after 10.8 hours on shift,TRUE,10.8
INC-0033,EMP-1034,2026-02-15,Chicago Plant,Warehouse & Logistics,Slip/Fall,Medium,Slip/Fall at Chicago Plant after 12.8 hours on shift,TRUE,12.8
INC-0034,EMP-1044,2026-02-17,Chicago Plant,Warehouse & Logistics,Heavy Lifting Injury,High,Heavy Lifting Injury at Chicago Plant after 10.5 hours on shift,TRUE,10.5
INC-0035,EMP-1177,2026-02-19,Baltimore HQ,Sales,Ergonomic Strain,Medium,Incident at Baltimore HQ - Medium severity,FALSE,4.5
INC-0036,EMP-1034,2026-02-21,Chicago Plant,Warehouse & Logistics,Caught Between Objects,High,Caught Between Objects at Chicago Plant after 9.9 hours on shift,TRUE,9.9
INC-0037,EMP-1046,2026-02-22,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Critical,Equipment Malfunction at Chicago Plant after 8.0 hours on shift,TRUE,8.0
INC-0038,EMP-1031,2026-02-23,Chicago Plant,Warehouse & Logistics,Slip/Fall,High,Slip/Fall at Chicago Plant after 8.2 hours on shift,TRUE,8.2
INC-0039,EMP-1040,2026-02-24,Chicago Plant,Warehouse & Logistics,Fatigue-Related Error,Medium,Fatigue-Related Error at Chicago Plant after 11.5 hours on shift,TRUE,11.5
INC-0040,EMP-1040,2026-02-25,Chicago Plant,Warehouse & Logistics,Forklift Collision,High,Forklift Collision at Chicago Plant after 8.5 hours on shift,TRUE,8.5
INC-0041,EMP-1033,2026-03-03,Chicago Plant,Warehouse & Logistics,Slip/Fall,Medium,Slip/Fall at Chicago Plant after 8.8 hours on shift,TRUE,8.8
INC-0042,EMP-1042,2026-03-08,Chicago Plant,Warehouse & Logistics,Repetitive Strain,Low,Repetitive Strain at Chicago Plant after 11.3 hours on shift,TRUE,11.3
INC-0043,EMP-1037,2026-03-13,Chicago Plant,Warehouse & Logistics,Caught Between Objects,High,Caught Between Objects at Chicago Plant after 10.9 hours on shift,TRUE,10.9
INC-0066,EMP-1107,2025-09-19,Atlanta DC,Warehouse & Logistics,Minor Cut/Bruise,Medium,Incident at Atlanta DC - Medium severity - Warehouse & Logistics,TRUE,7.5
INC-0067,EMP-1221,2025-09-24,Atlanta DC,Sales,Slip/Fall,Medium,Incident at Atlanta DC - Medium severity - Sales,FALSE,4.7
INC-0068,EMP-1072,2025-10-01,Austin Hub,Human Resources,Near Miss - Forklift,Low,Incident at Austin Hub - Low severity - Human Resources,TRUE,5.0
INC-0138,EMP-1296,2025-09-09,Atlanta DC,Engineering,Caught Between Objects,Low,Incident at Atlanta DC involving Caught Between Objects - Low severity,TRUE,3.7
INC-0139,EMP-1269,2025-09-12,Chicago Plant,Sales,Fatigue-Related Error,Low,Incident at Chicago Plant involving Fatigue-Related Error - Low severity,FALSE,9.9
INC-0140,EMP-1019,2025-09-13,Austin Hub,Human Resources,Fatigue-Related Error,Low,Incident at Austin Hub involving Fatigue-Related Error - Low severity,FALSE,2.3
INC-0141,EMP-1208,2025-09-13,Baltimore HQ,Human Resources,Near Miss - Forklift,Medium,Incident at Baltimore HQ involving Near Miss - Forklift - Medium severity,FALSE,1.9
INC-0142,EMP-1143,2025-09-14,Denver Office,Human Resources,Caught Between Objects,Medium,Incident at Denver Office involving Caught Between Objects - Medium severity,FALSE,7.0
INC-0143,EMP-1262,2025-09-15,Austin Hub,Human Resources,Minor Cut/Bruise,Medium,Incident at Austin Hub involving Minor Cut/Bruise - Medium severity,TRUE,4.0
INC-0144,EMP-1056,2025-09-17,Atlanta DC,Customer Service,Fatigue-Related Error,Low,Incident at Atlanta DC involving Fatigue-Related Error - Low severity,FALSE,8.6
INC-0145,EMP-1121,2025-09-17,Chicago Plant,Finance,Ergonomic Strain,Low,Incident at Chicago Plant involving Ergonomic Strain - Low severity,FALSE,7.0
INC-0146,EMP-1198,2025-09-18,Baltimore HQ,Warehouse & Logistics,Ergonomic Strain,High,Incident at Baltimore HQ involving Ergonomic Strain - High severity,TRUE,9.0
INC-0129,EMP-1163,2025-08-25,Denver Office,Sales,Near Miss,Medium,Incident at Denver Office involving Near Miss - Medium severity,FALSE,7.0
INC-0130,EMP-1031,2025-08-26,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Low,Incident at Chicago Plant involving Equipment Malfunction - Low severity,TRUE,6.2
INC-0131,EMP-1098,2025-08-28,Atlanta DC,Sales,Ergonomic Strain,Low,Incident at Atlanta DC involving Ergonomic Strain - Low severity,TRUE,2.8
INC-0132,EMP-1053,2025-08-29,Chicago Plant,Sales,Slip/Fall,Low,Incident at Chicago Plant involving Slip/Fall - Low severity,TRUE,2.5
INC-0133,EMP-1049,2025-08-31,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,High,Incident at Chicago Plant involving Equipment Malfunction - High severity,FALSE,1.9
INC-0134,EMP-1196,2025-08-31,Atlanta DC,Human Resources,Forklift Collision,Low,Incident at Atlanta DC involving Forklift Collision - Low severity,FALSE,9.6
INC-0135,EMP-1197,2025-09-03,Austin Hub,Sales,Ergonomic Strain,High,Incident at Austin Hub involving Ergonomic Strain - High severity,FALSE,1.2
INC-0136,EMP-1058,2025-09-04,Atlanta DC,Customer Service,Minor Cut/Bruise,Low,Incident at Atlanta DC involving Minor Cut/Bruise - Low severity,FALSE,4.9
INC-0137,EMP-1272,2025-09-06,Austin Hub,Engineering,Repetitive Strain,Low,Incident at Austin Hub involving Repetitive Strain - Low severity,FALSE,9.9
INC-0103,EMP-1012,2025-07-12,Atlanta DC,Customer Service,Near Miss,Low,Incident at Atlanta DC involving Near Miss - Low severity,FALSE,4.7
INC-0104,EMP-1244,2025-07-15,Chicago Plant,Human Resources,Near Miss - Forklift,Low,Incident at Chicago Plant involving Near Miss - Forklift - Low severity,FALSE,9.4
INC-0105,EMP-1107,2025-07-17,Atlanta DC,Warehouse & Logistics,Equipment Malfunction,Low,Incident at Atlanta DC involving Equipment Malfunction - Low severity,TRUE,6.2
INC-0106,EMP-1097,2025-07-18,Chicago Plant,Human Resources,Near Miss - Forklift,Low,Incident at Chicago Plant involving Near Miss - Forklift - Low severity,TRUE,7.0
INC-0107,EMP-1137,2025-07-18,Denver Office,Warehouse & Logistics,Near Miss - Forklift,Low,Incident at Denver Office involving Near Miss - Forklift - Low severity,FALSE,9.9
INC-0108,EMP-1173,2025-07-18,Atlanta DC,Sales,Heavy Lifting Injury,Low,Incident at Atlanta DC involving Heavy Lifting Injury - Low severity,TRUE,6.9
INC-0109,EMP-1280,2025-07-22,Denver Office,Human Resources,Forklift Collision,Low,Incident at Denver Office involving Forklift Collision - Low severity,FALSE,7.0
INC-0110,EMP-1067,2025-07-23,Atlanta DC,Customer Service,Heavy Lifting Injury,High,Incident at Atlanta DC involving Heavy Lifting Injury - High severity,FALSE,2.8
INC-0111,EMP-1260,2025-07-25,Denver Office,Engineering,Ergonomic Strain,Medium,Incident at Denver Office involving Ergonomic Strain - Medium severity,FALSE,4.0
INC-0147,EMP-1139,2025-09-20,Baltimore HQ,Finance,Repetitive Strain,Low,Incident at Baltimore HQ involving Repetitive Strain - Low severity,FALSE,7.3
INC-0148,EMP-1077,2025-09-21,Austin Hub,Engineering,Fatigue-Related Error,High,Incident at Austin Hub involving Fatigue-Related Error - High severity,TRUE,2.1
INC-0149,EMP-1067,2025-09-23,Atlanta DC,Customer Service,Ergonomic Strain,High,Incident at Atlanta DC involving Ergonomic Strain - High severity,FALSE,7.9
INC-0150,EMP-1014,2025-09-24,Denver Office,Human Resources,Fatigue-Related Error,Medium,Incident at Denver Office involving Fatigue-Related Error - Medium severity,TRUE,9.7
INC-0151,EMP-1045,2025-09-24,Chicago Plant,Warehouse & Logistics,Near Miss,Low,Incident at Chicago Plant involving Near Miss - Low severity,TRUE,2.7
INC-0152,EMP-1286,2025-09-25,Atlanta DC,Human Resources,Equipment Malfunction,Low,Incident at Atlanta DC involving Equipment Malfunction - Low severity,FALSE,9.7
INC-0153,EMP-1078,2025-09-26,Denver Office,Human Resources,Heavy Lifting Injury,Medium,Incident at Denver Office involving Heavy Lifting Injury - Medium severity,FALSE,4.0
INC-0154,EMP-1247,2025-09-26,Austin Hub,Customer Service,Caught Between Objects,Low,Incident at Austin Hub involving Caught Between Objects - Low severity,TRUE,7.1
INC-0155,EMP-1035,2025-09-27,Chicago Plant,Warehouse & Logistics,Ergonomic Strain,High,Incident at Chicago Plant involving Ergonomic Strain - High severity,FALSE,5.8
INC-0156,EMP-1054,2025-09-27,Baltimore HQ,Human Resources,Slip/Fall,Low,Incident at Baltimore HQ involving Slip/Fall - Low severity,TRUE,1.4
INC-0157,EMP-1082,2025-09-27,Denver Office,Warehouse & Logistics,Repetitive Strain,High,Incident at Denver Office involving Repetitive Strain - High severity,FALSE,1.9
INC-0158,EMP-1280,2025-09-29,Denver Office,Human Resources,Heavy Lifting Injury,Low,Incident at Denver Office involving Heavy Lifting Injury - Low severity,TRUE,4.5
INC-0159,EMP-1281,2025-09-29,Atlanta DC,Sales,Forklift Collision,Low,Incident at Atlanta DC involving Forklift Collision - Low severity,TRUE,5.0
INC-0160,EMP-1255,2025-10-02,Denver Office,Finance,Heavy Lifting Injury,Low,Incident at Denver Office involving Heavy Lifting Injury - Low severity,FALSE,5.7
INC-0161,EMP-1270,2025-10-02,Denver Office,Warehouse & Logistics,Ergonomic Strain,Low,Incident at Denver Office involving Ergonomic Strain - Low severity,FALSE,4.6
INC-0162,EMP-1185,2025-10-03,Denver Office,Sales,Slip/Fall,Low,Incident at Denver Office involving Slip/Fall - Low severity,FALSE,5.5
INC-0163,EMP-1241,2025-10-04,Atlanta DC,Customer Service,Ergonomic Strain,Low,Incident at Atlanta DC involving Ergonomic Strain - Low severity,TRUE,2.6
INC-0121,EMP-1168,2025-08-12,Austin Hub,Warehouse & Logistics,Repetitive Strain,Low,Incident at Austin Hub involving Repetitive Strain - Low severity,FALSE,6.6
INC-0122,EMP-1173,2025-08-12,Atlanta DC,Sales,Forklift Collision,Low,Incident at Atlanta DC involving Forklift Collision - Low severity,FALSE,2.3
INC-0123,EMP-1174,2025-08-12,Denver Office,Human Resources,Caught Between Objects,Medium,Incident at Denver Office involving Caught Between Objects - Medium severity,FALSE,8.8
INC-0124,EMP-1104,2025-08-13,Austin Hub,Engineering,Heavy Lifting Injury,High,Incident at Austin Hub involving Heavy Lifting Injury - High severity,TRUE,3.8
INC-0125,EMP-1023,2025-08-14,Austin Hub,Engineering,Equipment Malfunction,Low,Incident at Austin Hub involving Equipment Malfunction - Low severity,TRUE,8.4
INC-0126,EMP-1240,2025-08-16,Denver Office,Warehouse & Logistics,Repetitive Strain,High,Incident at Denver Office involving Repetitive Strain - High severity,TRUE,4.7
INC-0127,EMP-1217,2025-08-21,Austin Hub,Customer Service,Caught Between Objects,Low,Incident at Austin Hub involving Caught Between Objects - Low severity,FALSE,8.2
INC-0128,EMP-1009,2025-08-23,Chicago Plant,Finance,Forklift Collision,High,Incident at Chicago Plant involving Forklift Collision - High severity,FALSE,2.2
INC-0235,EMP-1039,2026-04-16,Chicago Plant,Warehouse & Logistics,Repetitive Strain,Critical,Incident at Chicago Plant involving Repetitive Strain - Critical severity,FALSE,7.7
INC-0237,EMP-1103,2026-04-16,Baltimore HQ,Finance,Caught Between Objects,Low,Incident at Baltimore HQ involving Caught Between Objects - Low severity,FALSE,7.7
INC-0238,EMP-1222,2026-04-17,Austin Hub,Warehouse & Logistics,Equipment Malfunction,Low,Incident at Austin Hub involving Equipment Malfunction - Low severity,FALSE,4.4
INC-0239,EMP-1185,2026-04-17,Denver Office,Sales,Minor Cut/Bruise,Medium,Incident at Denver Office involving Minor Cut/Bruise - Medium severity,FALSE,7.7
INC-0240,EMP-1084,2026-04-21,Chicago Plant,Sales,Slip/Fall,Critical,Incident at Chicago Plant involving Slip/Fall - Critical severity,FALSE,4.4
INC-0242,EMP-1081,2026-04-24,Baltimore HQ,Sales,Equipment Malfunction,Low,Incident at Baltimore HQ involving Equipment Malfunction - Low severity,FALSE,4.4
INC-0244,EMP-1308,2026-04-25,Denver Office,Finance,Heavy Lifting Injury,Medium,Incident at Denver Office involving Heavy Lifting Injury - Medium severity,FALSE,4.4
INC-0245,EMP-1094,2026-04-25,Denver Office,Engineering,Forklift Collision,Medium,Incident at Denver Office involving Forklift Collision - Medium severity,FALSE,7.7
INC-0250,EMP-1039,2026-04-05,Chicago Plant,Warehouse & Logistics,Minor Cut/Bruise,Low,Incident at Chicago Plant involving Minor Cut/Bruise - Low severity,FALSE,7.7
INC-0249,EMP-1068,2026-04-04,Atlanta DC,Customer Service,Repetitive Strain,Low,Incident at Atlanta DC involving Repetitive Strain - Low severity,TRUE,4.4
INC-0248,EMP-1125,2026-04-03,Chicago Plant,Engineering,Near Miss - Forklift,Low,Incident at Chicago Plant involving Near Miss - Forklift - Low severity,FALSE,4.4
INC-0256,EMP-1133,2026-04-11,Baltimore HQ,Sales,Slip/Fall,High,Incident at Baltimore HQ involving Slip/Fall - High severity,TRUE,7.7
INC-0255,EMP-1148,2026-04-10,Baltimore HQ,Human Resources,Repetitive Strain,Low,Incident at Baltimore HQ involving Repetitive Strain - Low severity,FALSE,7.7
INC-0251,EMP-1158,2026-04-06,Chicago Plant,Human Resources,Equipment Malfunction,Low,Incident at Chicago Plant involving Equipment Malfunction - Low severity,TRUE,7.7
INC-0254,EMP-1161,2026-04-09,Baltimore HQ,Finance,Repetitive Strain,Low,Incident at Baltimore HQ involving Repetitive Strain - Low severity,TRUE,7.7
INC-0253,EMP-1173,2026-04-08,Atlanta DC,Sales,Fatigue-Related Error,Medium,Incident at Atlanta DC involving Fatigue-Related Error - Medium severity,TRUE,7.7
INC-0246,EMP-1228,2026-04-01,Baltimore HQ,Warehouse & Logistics,Equipment Malfunction,Medium,Incident at Baltimore HQ involving Equipment Malfunction - Medium severity,FALSE,7.7
INC-0252,EMP-1274,2026-04-07,Chicago Plant,Human Resources,Forklift Collision,Low,Incident at Chicago Plant involving Forklift Collision - Low severity,FALSE,4.4
INC-0247,EMP-1306,2026-04-02,Baltimore HQ,Human Resources,Repetitive Strain,Critical,Incident at Baltimore HQ involving Repetitive Strain - Critical severity,TRUE,7.7
INC-0257,EMP-1236,2026-04-29,Atlanta DC,Engineering,Repetitive Strain,High,Incident at Atlanta DC involving Repetitive Strain - High severity,FALSE,4.4
INC-0258,EMP-1051,2026-04-29,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,Low,Incident at Chicago Plant involving Equipment Malfunction - Low severity,FALSE,7.7
INC-0260,EMP-1106,2026-05-06,Chicago Plant,Engineering,Equipment Malfunction,Low,Incident at Chicago Plant involving Equipment Malfunction - Low severity,FALSE,7.7
INC-0262,EMP-1222,2026-05-07,Austin Hub,Warehouse & Logistics,Equipment Malfunction,Low,Incident at Austin Hub involving Equipment Malfunction - Low severity,FALSE,7.7
INC-0264,EMP-1171,2026-05-08,Atlanta DC,Warehouse & Logistics,Equipment Malfunction,Low,Incident at Atlanta DC involving Equipment Malfunction - Low severity,FALSE,7.7
INC-0266,EMP-1090,2026-05-12,Chicago Plant,Customer Service,Equipment Malfunction,Low,Incident at Chicago Plant involving Equipment Malfunction - Low severity,FALSE,7.7
INC-0267,EMP-1182,2026-05-12,Austin Hub,Engineering,Repetitive Strain,Low,Incident at Austin Hub involving Repetitive Strain - Low severity,FALSE,4.4
INC-0270,EMP-1218,2026-05-15,Baltimore HQ,Engineering,Equipment Malfunction,Medium,Incident at Baltimore HQ involving Equipment Malfunction - Medium severity,FALSE,7.7
INC-0272,EMP-1059,2026-05-16,Atlanta DC,Customer Service,Equipment Malfunction,Low,Incident at Atlanta DC involving Equipment Malfunction - Low severity,FALSE,7.7
INC-0273,EMP-1056,2026-05-18,Atlanta DC,Customer Service,Near Miss,Low,Incident at Atlanta DC involving Near Miss - Low severity,FALSE,4.4
INC-0275,EMP-1248,2026-05-21,Baltimore HQ,Engineering,Repetitive Strain,Low,Incident at Baltimore HQ involving Repetitive Strain - Low severity,FALSE,4.4
INC-0276,EMP-1128,2026-05-21,Chicago Plant,Engineering,Equipment Malfunction,High,Incident at Chicago Plant involving Equipment Malfunction - High severity,FALSE,7.7
INC-0283,EMP-1258,2026-05-29,Baltimore HQ,Warehouse & Logistics,Repetitive Strain,Low,Incident at Baltimore HQ involving Repetitive Strain - Low severity,FALSE,4.4
INC-0284,EMP-1350,2026-05-29,Baltimore HQ,Warehouse & Logistics,Fatigue-Related Error,High,Incident at Baltimore HQ involving Fatigue-Related Error - High severity,FALSE,7.7
INC-0289,EMP-1236,2026-06-04,Atlanta DC,Engineering,Near Miss,Low,Incident at Atlanta DC involving Near Miss - Low severity,FALSE,4.4
INC-0290,EMP-1361,2026-06-04,Baltimore HQ,Warehouse & Logistics,Fatigue-Related Error,High,Incident at Baltimore HQ involving Fatigue-Related Error - High severity,FALSE,7.7
INC-0295,EMP-1368,2026-06-11,Baltimore HQ,Warehouse & Logistics,Repetitive Strain,Low,Incident at Baltimore HQ involving Repetitive Strain - Low severity,FALSE,4.4
INC-0296,EMP-1130,2026-06-11,Baltimore HQ,Customer Service,Equipment Malfunction,High,Incident at Baltimore HQ involving Equipment Malfunction - High severity,FALSE,7.7
